V	J
0.0	33.72494
0.01	33.72494
0.02	33.72494
0.03	33.72494
0.04	33.72494
0.05	33.72494
0.06	33.72494
0.07	33.72494
0.08	33.72494
0.09	33.72494
0.1	33.72494
0.11	33.72494
0.12	33.72494
0.13	33.72494
0.14	33.72494
0.15	33.72494
0.16	33.72494
0.17	33.72494
0.18	33.72494
0.19	33.72494
0.2	33.72494
0.21	33.72494
0.22	33.72494
0.23	33.72494
0.24	33.72494
0.25	33.72494
0.26	33.72494
0.27	33.72494
0.28	33.72494
0.29	33.72494
0.3	33.72494
0.31	33.72494
0.32	33.72494
0.33	33.72494
0.34	33.72494
0.350000	33.72494
0.36	33.72494
0.37	33.72494
0.38	33.72494
0.39	33.72494
0.4	33.72494
0.410000	33.72494
0.42	33.72494
0.43	33.72494
0.44	33.72494
0.45	33.72494
0.46	33.72494
0.470000	33.72494
0.48	33.72494
0.49	33.72494
0.5	33.72494
0.51	33.72494
0.52	33.72494
0.53	33.72493
0.54	33.72493
0.55	33.72493
0.56	33.72492
0.570000	33.72491
0.58	33.72489
0.59	33.72484
0.6	33.72477
0.61	33.72462
0.62	33.72434
0.63	33.72382
0.64	33.72285
0.65	33.72104
0.66	33.71766
0.67	33.71136
0.68	33.69959
0.690000	33.67763
0.700000	33.63662
0.71	33.56008
0.72	33.41721
0.73	33.15050
0.74	32.65265
0.75	31.72333
0.76	29.98858
0.77	26.75036
0.78	20.70565
0.79	9.422127
0.8	-11.6405
0.81	-50.9578
0.820000	-124.350
0.830000	-261.350
0.84	-517.086
0.85	-994.462
0.86	-1885.56
0.87	-3548.97
0.88	-6654.02
0.89	-12450.1
0.9	-23269.6
0.91	-43466.1
0.92	-81166.5
0.93	-151540.
0.940000	-282907.
0.950000	-528125.
0.96	-985870.
0.97	-1840330
0.98	-3435333
0.99	-6412688
1.0	-1197044
1.01	-2234499
1.02	-4171093
1.03	-7786089
1.04	-1453412
1.05	-2713051
1.06	-5064393
1.07	-9453589
1.08	-1764680
1.09	-3294088
1.1	-6149001
1.11	-1147820
1.12	-2142610
1.130000	-3999562
1.140000	-7465893
1.150000	-1393641
1.16	-2601479
1.17	-4856122
1.18	-9064814
1.19	-1692108
1.2	-3158621
1.21	-5896126
1.22	-1100616
1.23	-2054496
1.24	-3835082
1.25	-7158861
1.26	-1336328
1.27	-2494494
1.28	-4656416
1.29	-8692028
1.3	-1622521
1.31	-3028724
1.32	-5653651
